Bill Of Materials,,,
"Id;""Designator"";""Package"";""Quantity"";""Designation"";""Supplier and ref"";",,,
"1;""J1"";""PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor"";1;""GPIO_CONNECTOR"";;;",,,
"2;""H1",H2,H3,"H4"";""MountingHole_2.7mm_M2.5_uHAT_RPi"";4;""MountingHole"";;;"
"3;""C3"";""C_1210_3225Metric_Pad1.33x2.70mm_HandSolder"";1;""22u"";;;",,,
"4;""D1"";""D_0201_0603Metric_Pad0.64x0.40mm_HandSolder"";1;""DIODE"";;;",,,
"5;""J2"";""BarrelJack_CUI_PJ-102AH_Horizontal"";1;""Barrel_Jack"";;;",,,
"6;""L1"";""L_2816_7142Metric_Pad3.20x4.45mm_HandSolder"";1;""100u"";;;",,,
"7;""R1"";""R_0612_1632Metric_Pad1.18x3.40mm_HandSolder"";1;""13.2"";;;",,,
"8;""R2"";""R_0612_1632Metric_Pad1.18x3.40mm_HandSolder"";1;""10k"";;;",,,
"9;""R3","R5"";""R_0612_1632Metric_Pad1.18x3.40mm_HandSolder"";2;""3k"";;;",,
"10;""R4","R6"";""R_0612_1632Metric_Pad1.18x3.40mm_HandSolder"";2;""20k"";;;",,
"11;""U1"";""Linear_MSOP-12-16-1EP_3x4mm_P0.5mm"";1;""LTC3638"";;;",,,
"12;""U2"";""DIP-16_W7.62mm"";1;""L293D"";;;",,,
"13;""C1","C2"";""CP_Elec_3x5.3"";2;""15uF"";;;",,
"14;""C4","C5"";""CP_Elec_3x5.3"";2;""4.7u"";;;",,
"15;""D2",D4,"D6"";""LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder"";3;""LED"";;;",
"16;""D3","D5"";""D_1812_4532Metric_Pad1.30x3.40mm_HandSolder"";2;""DIODE"";;;",,
